Setting,Method,Merging,cluster_id,size,purity,mean_radius,nearest_cluster_dist,mean_prob,reliability_score,accepted,reason,sub_scores
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,1,19,1.0,0.8791199922561646,4.226236820220947,0.8102362647644448,0.6030478119387147,True,accepted,"{'compactness': 0.4281970251725609, 'separation': 0.632120557958092, 'hdb_prob': 0.8102362647644448}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,2,31,1.0,1.2755814790725708,5.658288478851318,0.765927476145322,0.5485636982220459,True,accepted,"{'compactness': 0.29209491262355275, 'separation': 0.7378524959607882, 'hdb_prob': 0.765927476145322}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,3,44,1.0,1.0364880561828613,4.812143325805664,0.7938720537554993,0.5833562655584613,True,accepted,"{'compactness': 0.36787944117144233, 'separation': 0.6797442902576861, 'hdb_prob': 0.7938720537554993}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,4,91,1.0,2.142725944519043,3.955321788787842,0.9707717143720014,0.4210622820681556,True,accepted,"{'compactness': 0.12652765341337907, 'separation': 0.6077660720918034, 'hdb_prob': 0.9707717143720014}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,5,49,1.0,1.3181874752044678,4.913567066192627,0.7967599450594706,0.5354554337712134,True,accepted,"{'compactness': 0.2803314571926816, 'separation': 0.6873384874011996, 'hdb_prob': 0.7967599450594706}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,6,34,1.0,1.073277473449707,5.378446578979492,0.8184978733585572,0.5936467652791124,True,accepted,"{'compactness': 0.35505083616983363, 'separation': 0.719906710880177, 'hdb_prob': 0.8184978733585572}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,7,34,0.9705882352941176,1.1958670616149902,5.670122146606445,0.6616701584943983,0.5361945214797629,True,accepted,"{'compactness': 0.3154458326395745, 'separation': 0.7385854949697723, 'hdb_prob': 0.6616701584943983}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,8,65,0.9846153846153847,2.135958433151245,4.337480068206787,0.9886659462415139,0.4323105539327196,True,accepted,"{'compactness': 0.12735648965036697, 'separation': 0.6416775698101183, 'hdb_prob': 0.9886659462415139}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,9,50,1.0,1.0801111459732056,4.818049907684326,0.7157464783958557,0.5558264608800502,True,accepted,"{'compactness': 0.3527176493553005, 'separation': 0.6801915664996663, 'hdb_prob': 0.7157464783958557}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,10,27,1.0,0.8297260403633118,3.665116310119629,0.8859648974943359,0.613337787980182,True,accepted,"{'compactness': 0.4490968375971159, 'separation': 0.5798860423888839, 'hdb_prob': 0.8859648974943359}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,11,13,0.5384615384615384,0.7122249603271484,2.332580327987671,0.9841495478790848,0.5943679785182138,True,accepted,"{'compactness': 0.5030065357960102, 'separation': 0.42416173430522397, 'hdb_prob': 0.9841495478790848}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,12,48,0.9583333333333334,0.9994807839393616,4.6179351806640625,0.8264673211406359,0.5938602760288219,True,accepted,"{'compactness': 0.38125169124771774, 'separation': 0.6646842107759255, 'hdb_prob': 0.8264673211406359}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,13,50,0.8,1.0213037729263306,4.430474281311035,0.7716833135623459,0.5719481732697772,True,accepted,"{'compactness': 0.3733084499972862, 'separation': 0.6494759918849646, 'hdb_prob': 0.7716833135623459}"
VUP Embedding,VUP Embedding + Graph HDBSCAN,False,14,42,0.9047619047619048,0.7545210719108582,3.2205498218536377,0.7799977853269042,0.585645456469149,True,accepted,"{'compactness': 0.48289344822232105, 'separation': 0.5332853488378088, 'hdb_prob': 0.7799977853269042}"
